road_type,hour,congestion_index
all,0,0.958760613669547
all,1,0.972209736245263
all,2,0.9803771943485032
all,3,0.9853216858488831
all,4,0.9898213313420935
all,5,0.993774966293685
all,6,0.9985388368234602
all,7,1.0
all,8,1.0
all,9,1.0
all,10,1.0
all,11,1.0
all,12,1.0
all,13,1.0
all,14,1.0
all,15,1.0
all,16,1.0
all,17,1.0
all,18,1.0
all,19,1.0
all,20,1.0
all,21,1.0
all,22,1.0
all,23,1.0
unclassified,0,0.958760613669547
unclassified,1,0.972209736245263
unclassified,2,0.9803771943485032
unclassified,3,0.9853216858488831
unclassified,4,0.9898213313420935
unclassified,5,0.993774966293685
unclassified,6,0.9985388368234602
unclassified,7,1.0
unclassified,8,1.0
unclassified,9,1.0
unclassified,10,1.0
unclassified,11,1.0
unclassified,12,1.0
unclassified,13,1.0
unclassified,14,1.0
unclassified,15,1.0
unclassified,16,1.0
unclassified,17,1.0
unclassified,18,1.0
unclassified,19,1.0
unclassified,20,1.0
unclassified,21,1.0
unclassified,22,1.0
unclassified,23,1.0
