road_type,hour,congestion_index
all,0,0.9205563370542452
all,1,0.9631365758987335
all,2,0.9904325142937718
all,3,0.9997204057114835
all,4,1.0
all,5,1.0
all,6,1.0
all,7,1.0
all,8,1.0
all,9,1.0
all,10,1.0
all,11,1.0
all,12,1.0
all,13,1.0
all,14,1.0
all,15,1.0
all,16,1.0
all,17,1.0
all,18,1.0
all,19,1.0
all,20,1.0
all,21,1.0
all,22,1.0
all,23,1.0
unclassified,0,0.9205563370542452
unclassified,1,0.9631365758987335
unclassified,2,0.9904325142937718
unclassified,3,0.9997204057114835
unclassified,4,1.0
unclassified,5,1.0
unclassified,6,1.0
unclassified,7,1.0
unclassified,8,1.0
unclassified,9,1.0
unclassified,10,1.0
unclassified,11,1.0
unclassified,12,1.0
unclassified,13,1.0
unclassified,14,1.0
unclassified,15,1.0
unclassified,16,1.0
unclassified,17,1.0
unclassified,18,1.0
unclassified,19,1.0
unclassified,20,1.0
unclassified,21,1.0
unclassified,22,1.0
unclassified,23,1.0
