purpose,bin,arrival,departure,traveltime,time
escape,10,0.0034998819058252636,0.007107122152320014,0.17106478002275996,00:10
escape,20,0.009254288965709746,0.01715586283898396,0.0961716015717261,00:20
escape,30,0.026667811822300474,0.046400274837352116,0.05827410731539733,00:30
escape,40,0.03933609602129989,0.10057329353917506,0.056384600519614365,00:40
escape,50,0.04564876645266571,0.1538230305112404,0.040130547742254094,00:50
escape,60,0.048933931677152,0.19453331329310974,0.03813368260580165,01:00
escape,70,0.048096536619930005,0.19062546969274044,0.03581474244734073,01:10
escape,80,0.04612114315161145,0.1428080647585511,0.03856311596847959,01:20
escape,90,0.04556287978013012,0.08547871084104525,0.0328731239129968,01:30
escape,100,0.044553711377836945,0.04234212956004552,0.039228737680630406,01:40
escape,110,0.03899254933115754,0.013827754278229876,0.04068881111373543,01:50
escape,120,0.0376613059068559,0.0041440319498421835,0.0400661327378524,02:00
escape,130,0.03821956927833724,9.018100616236876E-4,0.04884804500461641,02:10
escape,140,0.03884224765422026,2.576600176067679E-4,0.0272690185300496,02:20
escape,150,0.038949605994889745,0.0,0.022824383226332855,02:30
escape,160,0.038863719322354155,2.1471668133897324E-5,0.030210637064393534,02:40
escape,170,0.037103042535374574,0.0,0.022953213235136237,02:50
escape,180,0.03635153415068817,0.0,0.027848753569664826,03:00
escape,190,0.03502029072638653,0.0,0.026281321795890322,03:10
escape,200,0.03394670731969167,0.0,0.024950078371588687,03:20
escape,210,0.034054065660361156,0.0,0.011959719150580809,03:30
escape,220,0.0272690185300496,0.0,0.013913640950765464,03:40
escape,230,0.02559422841560561,0.0,0.016726429476306013,03:50
escape,240,0.024821248362785306,0.0,0.014321602645309513,04:00
escape,250,0.02492860670345479,0.0,0.008610138921692826,04:10
escape,260,0.025615700083739507,0.0,0.009533420651450412,04:20
escape,270,0.020763103085478712,0.0,0.006355613767633607,04:30
escape,280,0.020183368045863483,0.0,0.0,04:40
escape,290,0.019303029652373693,0.0,0.0,04:50
escape,300,0.015588431065209456,0.0,0.0,05:00
escape,310,0.00841689390848775,0.0,0.0,05:10
escape,320,0.00826659223155047,0.0,0.0,05:20
escape,330,0.008438365576621648,0.0,0.0,05:30
escape,340,0.00513172868400146,0.0,0.0,05:40
