road_type,hour,congestion_index
all,0,0.9503256186895507
all,1,0.9673941495395866
all,2,0.9829261684809733
all,3,0.9935160677587292
all,4,0.9971742762370146
all,5,0.9976195433259556
all,6,0.9976887974234598
all,7,0.998168536277695
all,8,1.0
all,9,1.0
all,10,1.0
all,11,1.0
all,12,1.0
all,13,1.0
all,14,1.0
all,15,1.0
all,16,1.0
all,17,1.0
all,18,1.0
all,19,1.0
all,20,1.0
all,21,1.0
all,22,1.0
all,23,1.0
unclassified,0,0.9503256186895507
unclassified,1,0.9673941495395866
unclassified,2,0.9829261684809733
unclassified,3,0.9935160677587292
unclassified,4,0.9971742762370146
unclassified,5,0.9976195433259556
unclassified,6,0.9976887974234598
unclassified,7,0.998168536277695
unclassified,8,1.0
unclassified,9,1.0
unclassified,10,1.0
unclassified,11,1.0
unclassified,12,1.0
unclassified,13,1.0
unclassified,14,1.0
unclassified,15,1.0
unclassified,16,1.0
unclassified,17,1.0
unclassified,18,1.0
unclassified,19,1.0
unclassified,20,1.0
unclassified,21,1.0
unclassified,22,1.0
unclassified,23,1.0
