road_type,hour,congestion_index
all,0,0.9623664154796389
all,1,0.9770022705736847
all,2,0.9883382081465997
all,3,0.9959231886691641
all,4,0.9969301770040653
all,5,0.9973357135982217
all,6,0.9984028208909365
all,7,0.9984028208909365
all,8,0.9986735141679831
all,9,1.0
all,10,1.0
all,11,1.0
all,12,1.0
all,13,1.0
all,14,1.0
all,15,1.0
all,16,1.0
all,17,1.0
all,18,1.0
all,19,1.0
all,20,1.0
all,21,1.0
all,22,1.0
all,23,1.0
unclassified,0,0.9623664154796389
unclassified,1,0.9770022705736847
unclassified,2,0.9883382081465997
unclassified,3,0.9959231886691641
unclassified,4,0.9969301770040653
unclassified,5,0.9973357135982217
unclassified,6,0.9984028208909365
unclassified,7,0.9984028208909365
unclassified,8,0.9986735141679831
unclassified,9,1.0
unclassified,10,1.0
unclassified,11,1.0
unclassified,12,1.0
unclassified,13,1.0
unclassified,14,1.0
unclassified,15,1.0
unclassified,16,1.0
unclassified,17,1.0
unclassified,18,1.0
unclassified,19,1.0
unclassified,20,1.0
unclassified,21,1.0
unclassified,22,1.0
unclassified,23,1.0
