road_type,hour,congestion_index
all,0,0.9646046375881344
all,1,0.9781461366106327
all,2,0.9854650983578634
all,3,0.9894998381772554
all,4,0.9911655012637551
all,5,0.9926986109843203
all,6,0.9975986261840766
all,7,0.9979105208064866
all,8,0.9980737790202769
all,9,0.9981826325629012
all,10,0.9996713140032033
all,11,1.0
all,12,1.0
all,13,1.0
all,14,1.0
all,15,1.0
all,16,1.0
all,17,1.0
all,18,1.0
all,19,1.0
all,20,1.0
all,21,1.0
all,22,1.0
all,23,1.0
unclassified,0,0.9646046375881344
unclassified,1,0.9781461366106327
unclassified,2,0.9854650983578634
unclassified,3,0.9894998381772554
unclassified,4,0.9911655012637551
unclassified,5,0.9926986109843203
unclassified,6,0.9975986261840766
unclassified,7,0.9979105208064866
unclassified,8,0.9980737790202769
unclassified,9,0.9981826325629012
unclassified,10,0.9996713140032033
unclassified,11,1.0
unclassified,12,1.0
unclassified,13,1.0
unclassified,14,1.0
unclassified,15,1.0
unclassified,16,1.0
unclassified,17,1.0
unclassified,18,1.0
unclassified,19,1.0
unclassified,20,1.0
unclassified,21,1.0
unclassified,22,1.0
unclassified,23,1.0
