road_type,hour,congestion_index
all,0,
all,1,
all,2,
all,3,
all,4,
all,5,
all,6,
all,7,
all,8,
all,9,
all,10,
all,11,
all,12,
all,13,
all,14,
all,15,
all,16,
all,17,
all,18,
all,19,
all,20,
all,21,
all,22,
all,23,
unclassified,0,
unclassified,1,
unclassified,2,
unclassified,3,
unclassified,4,
unclassified,5,
unclassified,6,
unclassified,7,
unclassified,8,
unclassified,9,
unclassified,10,
unclassified,11,
unclassified,12,
unclassified,13,
unclassified,14,
unclassified,15,
unclassified,16,
unclassified,17,
unclassified,18,
unclassified,19,
unclassified,20,
unclassified,21,
unclassified,22,
unclassified,23,
