road_type,hour,congestion_index
all,0,0.9652267098083469
all,1,0.9794320147074673
all,2,0.9888642239226116
all,3,0.9962792738867072
all,4,0.9970057420952617
all,5,0.9975446441695277
all,6,0.9984027764141739
all,7,0.998406546227328
all,8,0.9990648360089204
all,9,1.0
all,10,1.0
all,11,1.0
all,12,1.0
all,13,1.0
all,14,1.0
all,15,1.0
all,16,1.0
all,17,1.0
all,18,1.0
all,19,1.0
all,20,1.0
all,21,1.0
all,22,1.0
all,23,1.0
unclassified,0,0.9652267098083469
unclassified,1,0.9794320147074673
unclassified,2,0.9888642239226116
unclassified,3,0.9962792738867072
unclassified,4,0.9970057420952617
unclassified,5,0.9975446441695277
unclassified,6,0.9984027764141739
unclassified,7,0.998406546227328
unclassified,8,0.9990648360089204
unclassified,9,1.0
unclassified,10,1.0
unclassified,11,1.0
unclassified,12,1.0
unclassified,13,1.0
unclassified,14,1.0
unclassified,15,1.0
unclassified,16,1.0
unclassified,17,1.0
unclassified,18,1.0
unclassified,19,1.0
unclassified,20,1.0
unclassified,21,1.0
unclassified,22,1.0
unclassified,23,1.0
